no;lat;lon;name;ele
819;60.98523;10.55848;819;0
820;60.98487;10.56044;820;0
821;60.98467;10.56146;821;0
822;60.98449;10.56227;822;0
823;60.98412;10.56353;823;0
824;60.98385;10.56433;824;0
825;60.98346;10.56555;825;0
826;60.98317;10.56649;826;0
827;60.98267;10.56815;827;0
828;60.98229;10.56928;828;0
829;60.98178;10.57124;829;0
830;60.98106;10.57423;830;0
831;60.98088;10.57481;831;0
832;60.98048;10.57596;832;0
833;60.98026;10.57698;833;0
834;60.9801;10.57787;834;0
835;60.98;10.57827;835;0
836;60.97993;10.57848;836;0
837;60.9798;10.5788;837;0
838;60.97963;10.57918;838;0
839;60.97936;10.57962;839;0
840;60.97912;10.58004;840;0
841;60.97862;10.58104;841;0
842;60.97847;10.5813;842;0
843;60.97821;10.58161;843;0
844;60.97787;10.58198;844;0
845;60.97751;10.58245;845;0
846;60.9771;10.58312;846;0
847;60.97702;10.58324;847;0
848;60.97687;10.58353;848;0
849;60.97673;10.58384;849;0
850;60.97645;10.58445;850;0
851;60.976;10.58545;851;0
852;60.97559;10.58638;852;0
853;60.97501;10.58761;853;0
854;60.97477;10.58815;854;0
855;60.97443;10.58899;855;0
856;60.97412;10.58975;856;0
857;60.97383;10.59049;857;0
858;60.97348;10.59129;858;0
859;60.9732;10.59185;859;0
860;60.97277;10.59272;860;0
861;60.9725;10.59324;861;0
862;60.97211;10.594;862;0
863;60.97147;10.59524;863;0
864;60.97124;10.5956;864;0
865;60.97093;10.59601;865;0
866;60.97079;10.59615;866;0
867;60.97058;10.59633;867;0
868;60.9702;10.59663;868;0
869;60.97003;10.59676;869;0
870;60.96992;10.59688;870;0
871;60.96958;10.5973;871;0
872;60.96919;10.59792;872;0
